Date,MSFT,MMM,INTC
3/01/2012,22.156071,68.414352,19.332613
4/01/2012,22.677486,68.979744,19.781666
5/01/2012,22.909233,68.668343,20.010126
6/01/2012,23.265116,68.315994,19.891949
9/01/2012,22.958887,68.725723,20.065273
10/01/2012,23.041651,69.078056,20.159807
11/01/2012,22.942329,68.643753,20.325243
12/01/2012,23.17408,69.061676,20.285852
13/01/2012,23.380983,68.504448,19.805296
17/01/2012,23.389263,69.020729,19.726517
18/01/2012,23.364435,69.709015,20.002243
19/01/2012,23.273396,70.307251,20.191319
20/01/2012,24.589346,70.184319,20.782166
23/01/2012,24.605904,70.151527,21.042143
24/01/2012,24.283119,70.41375,21.191824
25/01/2012,24.465204,70.864426,21.191824
26/01/2012,24.415541,71.765823,21.07365
27/01/2012,24.192081,71.667473,21.057899
30/01/2012,24.50659,71.569153,21.065777
31/01/2012,24.440378,71.052902,20.813677
1/02/2012,24.738325,71.577332,20.916092
2/02/2012,24.787991,71.642891,20.868824
3/02/2012,25.028,71.888733,21.23411
6/02/2012,24.994896,71.749413,21.218225
7/02/2012,25.119045,72.019852,21.154699
8/02/2012,25.375614,72.085381,21.321463
9/02/2012,25.46665,72.12635,21.329407
10/02/2012,25.243189,71.405243,21.202347
13/02/2012,25.309401,72.134537,21.202347
14/02/2012,25.201105,72.101761,21.265877
15/02/2012,25.034481,71.780045,21.107059
16/02/2012,26.067522,72.308014,21.305574
17/02/2012,26.034197,72.233757,21.734394
21/02/2012,26.19248,72.266762,21.567631
22/02/2012,26.050858,72.398758,21.226171
23/02/2012,26.134163,72.514252,21.170586
24/02/2012,26.225803,72.761726,21.202347
27/02/2012,26.1175,72.654495,21.353224
28/02/2012,26.550711,72.406998,21.631157
29/02/2012,26.44241,72.266762,21.345276
1/03/2012,26.900608,72.176018,21.329407
2/03/2012,26.725662,72.200768,21.377047
5/03/2012,26.492392,71.821289,21.075294
6/03/2012,26.292456,70.080612,21.130878
7/03/2012,26.525721,70.509605,21.369108
8/03/2012,26.667349,71.532547,21.31352
9/03/2012,26.650681,71.606781,21.496157
12/03/2012,26.692339,72.21727,21.432634
13/03/2012,27.21719,73.215454,21.829681
14/03/2012,27.300497,73.314491,21.805859
15/03/2012,27.367149,74.246689,22.036146
16/03/2012,27.158869,73.883713,22.020262
19/03/2012,26.825634,74.032196,22.028204
20/03/2012,26.650681,73.710442,22.036146
21/03/2012,26.584036,73.347443,22.059973
22/03/2012,26.659012,73.066978,22.15526
23/03/2012,26.667349,72.976227,22.139376
26/03/2012,27.150543,73.520721,22.385548
27/03/2012,27.092218,73.537216,22.385548
28/03/2012,26.817305,72.967964,22.075851
